features,d_corr,d_fisher,g_corr,g_fisher,collinear
F0semitoneFrom27.5Hz_sma3nz_amean,0.10749099307887178,0.028664417171770085,-0.5765369579351933,1.001285784912052,
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.004798248871574213,5.6642517257434914e-05,0.0056556155393312066,6.777648183635617e-05,
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.10876415033713381,0.02925415954560246,-0.5852392372138975,1.036140514810046,
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.11097839375222086,0.030454079496425313,-0.5861175667020161,1.0506231242299309,
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.10415862141459024,0.026887801441810563,-0.5618036707560673,0.9330768339687586,
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.016493112393847296,0.0006529582140329115,-0.09290261706314917,0.017379638259259995,
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.04276416553353584,0.004302144873637452,-0.12325699327332547,0.030637714418863236,
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.05002193579054539,0.005747519338944626,-0.10045883093144786,0.019923280132017825,
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.022654401186397742,0.0012540654269809271,-0.04766841456251241,0.004872222485592784,
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.028201387650211664,0.0017772803616353818,-0.0770209633229057,0.011943454346656206,
loudness_sma3_amean,0.16814618576675006,0.05684873280299989,0.012680345979745484,0.00034103291331346176,
loudness_sma3_stddevNorm,0.06507180743577064,0.010438905136316949,-0.036763669016451846,0.0028221658154830524,
loudness_sma3_percentile20.0,0.0822007450553693,0.014591948776468865,0.024521808486205963,0.0012882936163113384,
loudness_sma3_percentile50.0,0.14047453095860563,0.04018344235646231,0.03953094010033104,0.0033014004519415696,
loudness_sma3_percentile80.0,0.17423975262799093,0.06106317839223745,-0.0013334899428931988,3.765419225494844e-06,
loudness_sma3_pctlrange0-2,0.17798259139209954,0.06411820897474316,-0.008897378954132805,0.0001677047429907308,
loudness_sma3_meanRisingSlope,0.11481072420716347,0.02739641468998261,0.0026532462657206752,1.5078490954015225e-05,
loudness_sma3_stddevRisingSlope,0.09686603445563868,0.020044088146244105,-0.008565810635950638,0.00015368702786733507,
loudness_sma3_meanFallingSlope,0.10332705707550072,0.022885512484153568,0.04990523427403437,0.005364098661464957,
loudness_sma3_stddevFallingSlope,0.0910479689418293,0.017539198842697383,0.04758133885931093,0.004882994509703065,
spectralFlux_sma3_amean,0.11900512029160482,0.028903433394386516,0.12516559275226138,0.03558160783494577,
spectralFlux_sma3_stddevNorm,0.05017129836105604,0.006252282966278455,-0.12426987195759819,0.032462660043530656,
mfcc1_sma3_amean,-0.03127243261128935,0.002418589914439818,0.06444559045957253,0.008752975782646463,
